id,category,medium,subject,bclass,chapter_no,chapter_name,pages,link
282,3,1,1,5,1,Knowning Our Number ,28,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.S.A+sol/6th/chapter+1.pdf 
281,1,1,1,4,15,Visulising Solid Shapes,14,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+15.pdf
280,1,1,1,4,14,Symmetry,20,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+14.pdf
279,1,1,1,4,13,Exponents And Power,17,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+13.pdf
278,1,1,1,4,12,Algebra Expression,21,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+12.pdf
277,1,1,1,4,11,Perimeter And Area,28,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+11.pdf
276,1,1,1,4,10,Practical Geometry,14,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+10.pdf
275,1,1,1,4,9,Rational Number,15,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+9.pdf
274,1,1,1,4,8,Comparing Quantitiy,14,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+8.pdf
273,1,1,1,4,7,Congurance Of Triangle,8,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+7.pdf
272,1,1,1,4,6,The Triangles And Its Properties,18,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+6.pdf
271,1,1,1,4,5,Lines And Angles,10,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+5.pdf
270,1,1,1,4,4,Simple Equation,27,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+4.pdf
269,1,1,1,4,3,Data Handling,10,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+3.pdf
268,1,1,1,4,2,Fraction And Decimals,31,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+2.pdf
267,1,1,1,4,1,Integer,22,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/NCERT+sol+maths/7th/chapter+1.pdf
266,4,1,1,4,25,Data Handling 4,4,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+25.pdf
265,4,1,1,4,24,Data Handlind 3,11,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+24.pdf
264,4,1,1,4,23,Data Handling 2,10,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+23.pdf
263,4,1,1,4,22,Data Handling 1,4,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+22.pdf
262,4,1,1,4,21,Mensuration 2,19,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+21.pdf
261,4,1,1,4,20,Mensuration 1,8,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+20.pdf
260,4,1,1,4,19,Visualising Solid Shape ,2,https://mirrorscore-drive.s3.ap-south-1.amazonaws.com/Solutions/R.D.S+sol/7th/chapter+19.pdf
